도,시군,품목,작기,농가명,조사일자,덩굴구분,개체번호,초장,마디수,평균절간장,줄기굵기,엽장,엽폭,엽수,암꽃수,착과수,crps_year,주차
경기,안성,오이,2,3,2019-02-19,1,1,3422.0,37.0,,8.1,186.0,265.0,26.0,1.0,,2018,1
경기,안성,오이,2,3,2019-02-19,1,2,3134.0,35.0,,7.8,168.0,236.0,24.0,1.0,,2018,1
경기,안성,오이,2,3,2019-02-19,1,3,3321.0,35.0,,8.6,215.0,315.0,23.0,1.0,,2018,1
경기,안성,오이,2,3,2019-02-19,1,4,3158.0,41.0,,11.1,155.0,260.0,28.0,1.0,,2018,1
경기,안성,오이,2,3,2019-02-26,1,1,3725.0,40.0,,8.2,190.0,260.0,27.0,0.0,,2018,2
경기,안성,오이,2,3,2019-02-26,1,2,3349.0,37.0,,7.3,173.0,228.0,26.0,0.0,,2018,2
경기,안성,오이,2,3,2019-02-26,1,3,3618.0,38.0,,8.8,212.0,278.0,26.0,1.0,,2018,2
경기,안성,오이,2,3,2019-02-26,1,4,3500.0,45.0,,12.3,152.0,293.0,31.0,0.0,,2018,2
경기,안성,오이,2,3,2019-03-07,1,1,4135.0,45.0,,8.6,182.0,241.0,30.0,0.0,,2018,3
경기,안성,오이,2,3,2019-03-07,1,2,3734.0,41.0,,7.3,162.0,228.0,27.0,0.0,,2018,3
경기,안성,오이,2,3,2019-03-07,1,3,3947.0,41.0,,8.5,205.0,260.0,26.0,1.0,,2018,3
경기,안성,오이,2,3,2019-03-07,1,4,3938.0,49.0,,11.8,183.0,315.0,35.0,0.0,,2018,3
경기,안성,오이,2,3,2019-03-13,1,1,4433.0,47.0,,7.01,172.0,233.0,32.0,1.0,,2018,4
경기,안성,오이,2,3,2019-03-13,1,2,3967.0,44.0,,6.9,158.0,224.0,27.0,0.0,,2018,4
경기,안성,오이,2,3,2019-03-13,1,3,4161.0,43.0,,7.7,185.0,264.0,27.0,1.0,,2018,4
경기,안성,오이,2,3,2019-03-13,1,4,4243.0,52.0,,9.5,157.0,257.0,35.0,2.0,,2018,4
경기,안성,오이,2,3,2019-03-20,1,1,4775.0,50.0,,8.8,193.0,276.0,35.0,1.0,,2018,5
경기,안성,오이,2,3,2019-03-20,1,2,4270.0,47.0,,7.6,161.0,260.0,30.0,1.0,,2018,5
경기,안성,오이,2,3,2019-03-20,1,3,4390.0,46.0,,6.7,206.0,272.0,27.0,1.0,,2018,5
경기,안성,오이,2,3,2019-03-20,1,4,4445.0,54.0,,9.8,186.0,260.0,35.0,1.0,,2018,5
경기,안성,오이,2,3,2019-03-27,1,1,5128.0,53.0,,9.5,190.0,282.0,37.0,1.0,,2018,6
경기,안성,오이,2,3,2019-03-27,1,2,4578.0,49.0,,7.1,182.0,255.0,32.0,0.0,,2018,6
경기,안성,오이,2,3,2019-03-27,1,3,4589.0,47.0,,7.5,193.0,255.0,25.0,1.0,,2018,6
경기,안성,오이,2,3,2019-03-27,1,4,4706.0,56.0,,9.8,180.0,270.0,33.0,1.0,,2018,6
경기,안성,오이,2,3,2019-04-03,1,1,5497.0,56.0,,9.5,188.0,249.0,38.0,0.0,,2018,7
경기,안성,오이,2,3,2019-04-03,1,2,4915.0,52.0,,8.9,186.0,255.0,33.0,1.0,,2018,7
경기,안성,오이,2,3,2019-04-03,1,3,4863.0,50.0,,8.1,199.0,268.0,25.0,0.0,,2018,7
경기,안성,오이,2,3,2019-04-03,1,4,4947.0,59.0,,8.3,131.0,160.0,33.0,1.0,,2018,7
경기,안성,오이,2,3,2019-04-10,1,1,5863.0,59.0,,9.9,183.0,250.0,31.0,1.0,,2018,8
경기,안성,오이,2,3,2019-04-10,1,2,5263.0,56.0,,7.7,198.0,272.0,34.0,1.0,,2018,8
경기,안성,오이,2,3,2019-04-10,1,3,5139.0,53.0,,7.7,193.0,262.0,26.0,1.0,,2018,8
경기,안성,오이,2,3,2019-04-10,1,4,5252.0,64.0,,8.7,132.0,252.0,35.0,0.0,,2018,8
경기,안성,오이,2,3,2019-04-17,1,1,6262.0,62.0,,9.9,172.0,260.0,32.0,1.0,,2018,9
경기,안성,오이,2,3,2019-04-17,1,2,5667.0,59.0,,9.2,197.0,273.0,33.0,1.0,,2018,9
경기,안성,오이,2,3,2019-04-17,1,3,5335.0,55.0,,8.01,196.0,242.0,23.0,0.0,,2018,9
경기,안성,오이,2,3,2019-04-17,1,4,5570.0,67.0,,10.6,177.0,240.0,33.0,0.0,,2018,9
경기,안성,오이,2,3,2019-04-23,1,1,6574.0,65.0,,9.8,205.0,273.0,30.0,1.0,,2018,10
경기,안성,오이,2,3,2019-04-23,1,2,6032.0,63.0,,9.3,203.0,296.0,30.0,0.0,,2018,10
경기,안성,오이,2,3,2019-04-23,1,3,5656.0,59.0,,9.8,214.0,306.0,23.0,0.0,,2018,10
경기,안성,오이,2,3,2019-04-23,1,4,5662.0,68.0,,10.5,162.0,254.0,32.0,1.0,,2018,10
경기,안성,오이,2,3,2019-04-30,1,1,6950.0,68.0,,9.8,200.0,247.0,22.0,0.0,,2018,11
